Date,t,MKT,NFLX_return,NFLX_expected_return,NFLX_AR,NFLX_CAR,WBD_return,WBD_expected_return,WBD_AR,WBD_CAR,PSKY_return,PSKY_expected_return,PSKY_AR,PSKY_CAR
2025-11-20,-10,-0.01556722511953934,-0.03936363636363638,-0.013271302377438308,-0.02609233398619807,-0.02609233398619807,-0.009094846253789535,-0.024475357439754077,0.015380511185964542,0.015380511185964542,0.013574660633484115,-0.005876101604383195,0.01945076223786731,0.01945076223786731
2025-11-21,-9,0.00982296337531885,-0.01287025645878681,0.010023904304867865,-0.022894160763654678,-0.04898649474985275,0.01267482517482521,0.021128563617429347,-0.008453738442604136,0.006926772743360406,0.013392857142857206,0.006122639014643162,0.007270218128214045,0.026720980366081355
2025-11-24,-8,0.015467235297948356,0.025500910746812266,0.015202459046019912,0.010298451700792355,-0.03868804304906039,-0.013379369874838232,0.03126637457684777,-0.044645744451686,-0.0377189717083256,-0.05223410950283203,0.008789974658748347,-0.06102408416158037,-0.034303103795499015
2025-11-25,-7,0.009061731930226413,-0.024025427690006484,0.009325483186407479,-0.03335091087641397,-0.07203895392547435,0.004374453193350947,0.019761297725123292,-0.015386844531772345,-0.05310581624009794,0.038512616201859196,0.005762900895229024,0.03274971530663017,-0.001553388488868844
2025-11-26,-6,0.006906714278112958,0.016666666666666607,0.007348279211723811,0.009318387454942796,-0.06272056647053156,0.04006968641114983,0.015890619297362858,0.02417906711378697,-0.02892674912631097,0.00959079283887454,0.004744495780104772,0.004846297058769768,0.003292908569900924
2025-11-28,-5,0.005354775922884247,0.013566986998304165,0.005924393573750999,0.007642593424553166,-0.0550779730459784,0.005025125628140836,0.013103145929380661,-0.008078020301239825,-0.03700476942755079,0.014566181127295685,0.004011090205550698,0.010555090921744987,0.013847999491645911
2025-12-01,-4,-0.00532333492478565,0.01440788250604208,-0.0038726506358034265,0.018280533141845506,-0.036797439904132895,-0.005416666666666625,-0.006076062773052084,0.0006593961063854591,-0.03634537332116533,-0.019350811485642883,-0.0010351063750043982,-0.018315705110638486,-0.004467705618992575
2025-12-02,-3,0.002457200816718297,0.0020159442866305444,0.0032659016531687425,-0.0012499573665381981,-0.03804739727067109,0.02764976958525356,0.007898742408484708,0.01975102717676885,-0.01659434614439648,0.007001909611712209,0.002641771811948628,0.004360137799763582,-0.00010756781922899306
2025-12-03,-2,0.002979777051177468,-0.04929126657521721,0.00374535935358924,-0.053036625928806445,-0.09108402319947753,0.0016306563391765838,0.008837354004356174,-0.00720669766517959,-0.02380104380957607,-0.072692793931732,0.002888727705647995,-0.07558152163738,-0.07568908945660899
2025-12-04,-1,0.0010803361305278258,-0.0071181223547517325,0.0020026440981934777,-0.00912076645294521,-0.10020478965242274,-0.0012210012210012167,0.005425723018803152,-0.006646724239804369,-0.030447768049380437,0.010224948875255713,0.0019911014854781407,0.008233847389777572,-0.06745524206683141
2025-12-05,0,0.0019366731222436595,-0.0288703739585352,0.0027883234646843753,-0.03165869742321958,-0.13186348707564233,0.06275468622656888,0.006963810243971384,0.05579087598259749,0.025343107933217056,-0.09851551956815119,0.0023957840047968302,-0.10091130357294802,-0.16836654563977943
2025-12-08,1,-0.0034772356776897606,-0.03441739824421375,-0.00217887575398805,-0.0322385224902257,-0.164102009565868,0.044095092024539984,-0.0027602400352517717,0.046855332059791754,0.07219843999300882,0.09056886227544925,-0.00016268803800114067,0.09073155031345038,-0.07763499532632905
2025-12-09,2,-0.0008763589040255981,-0.000826531666494601,0.0002073988500774568,-0.0010339305165720579,-0.16513594008244006,0.03782592728608147,0.0019112565583896005,0.035914670727691875,0.10811311072070069,0.0048043925875085325,0.001066418464913016,0.0037379741225955164,-0.07389702120373352
2025-12-10,3,0.006749496748049477,-0.04136076931030919,0.007204033931400188,-0.04856480324170938,-0.21370074332414946,0.044939844302901655,0.015608237154698881,0.029331607148202772,0.13744471786890347,0.005464480874316946,0.004670198877410343,0.0007942819969066033,-0.07310273920682692
2025-12-11,4,0.0020793764194066977,0.014885125660662357,0.0029192521028208246,0.011965873557841532,-0.20173486976630792,-0.0013545546901456706,0.00722012302793283,-0.0085746777180785,0.12887004015082498,-0.04076086956521752,0.0024632218597180683,-0.043224091424935586,-0.1163268306317625
2025-12-12,5,-0.010663671931604113,0.011690934211924686,-0.008772348578266427,0.020463282790191113,-0.1812715869761168,0.016615801966768373,-0.0156679690059272,0.03228377097269557,0.16115381112352056,-0.026912181303116123,-0.0035588103079617584,-0.023353370995154363,-0.13968020162691686
2025-12-15,6,-0.0015965058492165562,-0.014917533354343981,-0.0004533277110212177,-0.014464205643322764,-0.19573579261943957,-0.009006004002668377,0.000617783512897597,-0.009623787515565974,0.1515300236079546,0.0181950509461426,0.0007260958082033044,0.017468955137939293,-0.12221124648897756
2025-12-16,7,-0.0023839178699950336,0.008531513277167502,-0.0011757692073449512,0.009707282484512452,-0.18602851013492713,-0.027263547627061624,-0.0007965059336865025,-0.02646704169337512,0.12506298191457946,-0.010007147962830643,0.00035398543180583633,-0.01036113339463648,-0.13257237988361403
2025-12-17,8,-0.011592203827500702,0.0023263191286879703,-0.009624265941164502,0.011950585069852472,-0.17407792506507466,-0.02387543252595148,-0.017335727214501363,-0.0065397053114501155,0.11852327660312933,-0.054151624548736454,-0.00399761025533561,-0.05015401429340084,-0.18272639417701486
2025-12-18,9,0.007934323499612317,-0.00833421246966981,0.008291098884303995,-0.016625311353973805,-0.19070323641904846,-0.021269053527118054,0.017736332645429606,-0.03900538617254766,0.07951789043058168,-0.006870229007633566,0.0052301170864998536,-0.01210034609413342,-0.19482674027114827
2025-12-19,10,0.008818024549947179,0.004148936170212725,0.009101884460673015,-0.00495294829046029,-0.19565618470950874,0.005795001810938061,0.019323569106702132,-0.013528567295764071,0.0659893231348176,0.003074558032282848,0.0056477311459573664,-0.0025731731136745184,-0.1973999133848228
